,trip_id,price_of_the_trip,date
0,2030433816,11.25,2020-08-21
1,2026019926,12.5,2020-08-21
2,2014886656,12.5,2020-08-21
3,2030108726,12.5,2020-08-21
4,2029637806,13.75,2020-08-21
5,2027381151,13.75,2020-08-21
6,2029796031,13.75,2020-08-21
7,2027578496,15.0,2020-08-21
8,2030159916,17.5,2020-08-21
9,2030433816,11.25,2020-08-21
10,2026019926,12.50,2020-08-21
11,2014886656,12.50,2020-08-21
12,2030108726,12.50,2020-08-21
13,2029637806,13.75,2020-08-21
14,2027381151,13.75,2020-08-21
15,2029796031,13.75,2020-08-21
16,2027578496,15.00,2020-08-21
17,2030159916,17.50,2020-08-21
